Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02 00:00:00-05:00,4.840010981992647,4.931976052111329,4.808367634479755,4.928267478942871,355616000,0.0,0.0
2018-01-03 00:00:00-05:00,5.045693177854622,5.283021472385723,5.037040630444847,5.252613544464111,914704000,0.0,0.0
2018-01-04 00:00:00-05:00,5.333950243496966,5.390562918784544,5.258054403212259,5.280303955078125,583268000,0.0,0.0
2018-01-05 00:00:00-05:00,5.295137048095336,5.362379862490228,5.218252415903529,5.325050354003906,580124000,0.0,0.0
2018-01-08 00:00:00-05:00,5.448658412630829,5.562377912508374,5.403664680365826,5.488213062286377,881216000,0.0,0.0
2018-01-09 00:00:00-05:00,5.493650707108688,5.533205349807111,5.405147158706325,5.486728668212891,497000000,0.0,0.0
2018-01-10 00:00:00-05:00,5.394271149905821,5.533207076130742,5.339883617109075,5.529746055603027,582664000,0.0,0.0
2018-01-11 00:00:00-05:00,5.562377460431114,5.593774190913666,5.518125446278881,5.539633750915527,406032000,0.0,0.0
2018-01-12 00:00:00-05:00,5.527765801232707,5.56212890892545,5.471894866118193,5.5124382972717285,359916000,0.0,0.0
2018-01-16 00:00:00-05:00,5.538890951964245,5.6244276341685735,5.356939425350696,5.4414873123168945,702348000,0.0,0.0
2018-01-17 00:00:00-05:00,5.456074430360988,5.565344110977287,5.362132258485765,5.555455684661865,538408000,0.0,0.0
2018-01-18 00:00:00-05:00,5.536172317788228,5.602920961181686,5.505023139482716,5.5485334396362305,408632000,0.0,0.0
2018-01-19 00:00:00-05:00,5.638766790715722,5.7129316262650836,5.611820350109823,5.688704490661621,609380000,0.0,0.0
2018-01-22 00:00:00-05:00,5.696616552157048,5.778939791980217,5.639015086686578,5.777209281921387,550944000,0.0,0.0
2018-01-23 00:00:00-05:00,5.830606041826404,5.928998472448549,5.81206507097575,5.906254768371582,475228000,0.0,0.0
2018-01-24 00:00:00-05:00,5.909470022559056,5.945316570520847,5.773748056732924,5.829371929168701,579972000,0.0,0.0
2018-01-25 00:00:00-05:00,5.883759466256507,5.927022687812408,5.828136065229593,5.842968940734863,409884000,0.0,0.0
2018-01-26 00:00:00-05:00,5.886725901017889,6.01577289884531,5.87387061742999,6.015525817871094,516356000,0.0,0.0
2018-01-29 00:00:00-05:00,6.0009388830952455,6.133694427930179,5.948281882358763,6.102544784545898,455116000,0.0,0.0
2018-01-30 00:00:00-05:00,5.960641744211449,6.091913843117909,5.893893123439671,6.000443458557129,570832000,0.0,0.0
2018-01-31 00:00:00-05:00,6.075845962626409,6.162371919159621,6.0432133592736355,6.076587677001953,478576000,0.0,0.0
2018-02-01 00:00:00-05:00,5.8966134598439695,6.103781395693679,5.885241606830483,5.945562362670898,519224000,0.0,0.0
2018-02-02 00:00:00-05:00,5.859038250068228,5.883018309442739,5.714910812825561,5.773006439208984,718464000,0.0,0.0
2018-02-05 00:00:00-05:00,5.611819158295059,5.765834959164934,5.067942241344301,5.283020973205566,1165204000,0.0,0.0
2018-02-06 00:00:00-05:00,5.053110396274145,5.57968185528126,5.0432215001474106,5.576715469360352,1114800000,0.0,0.0
2018-02-07 00:00:00-05:00,5.675603257923874,5.808853001810103,5.604404794143706,5.656320095062256,802932000,0.0,0.0
2018-02-08 00:00:00-05:00,5.78190558077716,5.815032346768609,5.377211496741785,5.3774590492248535,1144000000,0.0,0.0
2018-02-09 00:00:00-05:00,5.8899410866309445,5.905762759844438,5.377460616033913,5.73740816116333,1674604000,0.0,0.0
2018-02-12 00:00:00-05:00,5.818494627168599,5.821461485380056,5.563119901821331,5.637284755706787,1093172000,0.0,0.0
2018-02-13 00:00:00-05:00,5.600942149859911,5.797232383971837,5.568556630662065,5.751002788543701,625524000,0.0,0.0
2018-02-14 00:00:00-05:00,5.710707201814138,5.9972315222991,5.699582428847461,5.968307018280029,744988000,0.0,0.0
2018-02-15 00:00:00-05:00,6.0516191020470895,6.140122653254458,5.9707793043641795,6.093893051147461,698900000,0.0,0.0
